,precision,recall,f1-score,support
Adiós\Adiós,0.875,0.9333333333333333,0.9032258064516129,15.0
Buenas noches\Buenas noches,1.0,1.0,1.0,2.0
Buenas tardes\Buenas tardes,1.0,0.75,0.8571428571428571,4.0
Buenos días\Buenos días,0.4444444444444444,1.0,0.6153846153846154,4.0
Clase\Clase,1.0,0.3333333333333333,0.5,3.0
Comenzar\Comenzar,1.0,1.0,1.0,3.0
Compañero\Compañero,1.0,1.0,1.0,6.0
Cuaderno\Cuaderno,0.8,1.0,0.8888888888888888,4.0
Cómo está\Cómo está,1.0,0.25,0.4,4.0
Deberes\Deberes,1.0,0.3333333333333333,0.5,3.0
Disculpa\Disculpa,1.0,1.0,1.0,2.0
Entender\Entender,0.8,1.0,0.8888888888888888,4.0
Escribir\Escribir,0.8571428571428571,1.0,0.9230769230769231,6.0
Escuchar\Escuchar,0.7142857142857143,1.0,0.8333333333333334,5.0
Estudiante\Estudiante,1.0,1.0,1.0,6.0
Examen\Examen,1.0,1.0,1.0,4.0
Explicar\Explicar,1.0,1.0,1.0,3.0
Gracias\Gracias,0.9375,0.9375,0.9375,16.0
Hola\Hola,0.9230769230769231,0.8,0.8571428571428571,15.0
Lección\Lección,1.0,0.75,0.8571428571428571,4.0
Leer\Leer,1.0,1.0,1.0,6.0
Libro\Libro,1.0,1.0,1.0,4.0
Lápiz\Lápiz,1.0,0.5,0.6666666666666666,4.0
Mucho gusto\Mucho gusto,0.6666666666666666,0.5,0.5714285714285714,4.0
Pizarrón\Pizarrón,1.0,1.0,1.0,4.0
Por favor\Por favor,0.9333333333333333,1.0,0.9655172413793104,14.0
Pregunta\Pregunta,1.0,1.0,1.0,4.0
Profesor\Profesor,0.8666666666666667,1.0,0.9285714285714286,13.0
Responder\Responder,0.5,0.75,0.6,4.0
Terminar\Terminar,1.0,0.3333333333333333,0.5,3.0
accuracy,0.8786127167630058,0.8786127167630058,0.8786127167630058,0.8786127167630058
macro avg,0.9106038868538868,0.8390277777777777,0.8397970311832936,173.0
weighted avg,0.906723799642875,0.8786127167630058,0.8704133034217201,173.0
